,rna,method,LociPARSE,RNArank,RNA3DCNN,ARES,tb_mcq,PAMnet,clash,3drnascore,RNA-BRiQ,RASP-ENERGY,DFIRE,cgRNASP
325,dataset3.trRosettaRNA.ENSMUST00000122608.model_1.fixed.pdb,trRosettaRNA,0.6,0.604,26.085571,6.54,17.23,5.74,19.112789051439357,25.86,95.67,-71286.8,-81905.47,-613.86
327,dataset3.DRfold2.ENSMUST00000122608.DPR.fixed.pdb,DRfold2,0.7,0.556,7.2608747,6.16,15.02,5.78,9.674374705049551,28.54,216.82,-68374.2,-68247.48,-547.6
331,dataset3.NuFold.ENSMUST00000122608_rank_1.pdb,NuFold,0.58,0.321,14.219906,6.58,10.1,4.98,6.058446186742694,28.76,231.8,-76200.1,-80719.74,-615.09
333,dataset3.RNAJP.ENSMUST00000122608.em_predicted_ENSMUST00000122608-1.fixed.pdb,RNAJP,0.68,0.603,20.360954,6.5,14.17,4.46,32.250686184812444,26.29,-6.34,-69999.4,-87775.19,-685.48
335,dataset3.DRfold.ENSMUST00000122608.DPR.fixed.pdb,DRfold,0.41,0.396,27.205067,7.27,47.47,2.52,315.4663518299882,38.66,11590.0,24731.8,-73720.28,-80.11
336,dataset1.DeepFoldRNA.ENSMUST00000122608.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.59,0.438,9.06012,6.72,13.32,4.75,8.007320979180966,25.79,88.58,-64472.7,-60008.65,-341.63
338,dataset3.AF3.ENSMUST00000122608.model_0.fixed.pdb,Alphafold3,0.75,0.767,7.0165176,6.43,10.11,4.3,7.125044531528322,29.6,-256.47,-74873.0,-96689.78,-881.27
344,dataset3.Rhofold.ENSMUST00000122608.relaxed_1000.fixed.pdb,RhoFold,0.38,0.397,68.8062,10.3423462,58.73,4.01,134.12042502951593,41.89,5025.45,36435.5,-105691.4,-671.67
348,dataset3.RoseTTAFold2NA.ENSMUST00000122608.model_00.fixed.pdb,RoseTTAFold2NA,0.59,0.579,29.253357,7.5,14.35,7.55,71.0240679565833,28.3,802.33,-52127.8,-67960.14,-447.9
350,dataset1.SimRNA.ENSMUST00000122608.fixed.pdb,SimRNA,0.55,0.31,30.110317,7.16,17.19,5.31,44.36054742803209,31.04,1513.19,-47034.5,-81081.72,-705.12
351,dataset3.Vfold.ENST00000363858.npk1_vfold.fixed.pdb,Vfold,0.55,0.585,25.492102,6.74,20.48,3.92,461.44685918428104,36.19,5935.2,-20348.8,-67078.61,-556.0
352,dataset3.RNAJP.ENST00000363858.em_predicted_ENST00000363858-1.fixed.pdb,RNAJP,0.69,0.72,15.129026,6.08,14.84,4.92,31.457431457431458,26.01,-43.06,-57736.8,-68699.04,-491.39
355,dataset3.trRosettaRNA.ENST00000363858.model_1.fixed.pdb,trRosettaRNA,0.6,0.601,27.758871,6.85,19.65,6.27,19.946412622804406,26.54,138.71,-46796.3,-61802.7,-505.8
358,dataset3.AF3.ENST00000363858.model_0.fixed.pdb,Alphafold3,0.77,0.655,2.4405413,5.84,10.41,2.77,5.381165919282512,30.44,-288.77,-74963.5,-82606.26,-726.84
359,dataset1.SimRNA.ENST00000363858.fixed.pdb,SimRNA,0.58,0.34,23.39399,9.0253925,19.67,5.29,79.487942840131,33.09,1535.35,-40481.9,-69144.01,-511.53
362,dataset3.RoseTTAFold2NA.ENST00000363858.model_00.fixed.pdb,RoseTTAFold2NA,0.57,0.423,26.468712,7.77,15.03,10.02,41.67907115212861,28.47,492.74,-35220.2,-47419.99,-258.46
363,dataset3.DRfold.ENST00000363858.DPR.fixed.pdb,DRfold,0.57,0.483,30.155596,8.12,31.08,6.27,65.25625744934446,32.49,3511.57,-16594.3,-39183.29,-13.73
364,dataset3.NuFold.ENST00000363858_rank_1.pdb,NuFold,0.55,0.381,20.483442,6.92,12.53,6.59,28.712427097353075,29.28,682.84,-48833.2,-52789.08,-388.67
365,dataset3.Rhofold.ENST00000363858.relaxed_1000.fixed.pdb,RhoFold,0.58,0.762,39.222713,8.48,56.88,9.67,4.469606674612634,33.82,612.48,-27162.9,-38534.62,-273.79
371,dataset3.RNAComposer.ENST00000363858.fixed.pdb,RNAComposer,0.68,0.876,22.538578,6.88,20.7,5.59,38.43861740166865,28.04,123.86,-41139.9,-64470.83,-524.01
373,dataset1.DeepFoldRNA.ENST00000363858.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.6,0.462,21.515064,7.54,17.88,6.09,19.919168591224018,26.83,257.68,-38892.0,-46532.71,-310.89
376,dataset3.DRfold2.ENST00000363858.DPR.fixed.pdb,DRfold2,0.74,0.7,6.5447397,5.83,16.22,3.73,22.32807383149747,31.0,-30.68,-66217.9,-78875.32,-721.63
377,dataset3.NuFold.ENST00000468851_rank_1.pdb,NuFold,0.58,0.386,13.119232,6.56,11.29,,16.311166875784192,32.79,524.99,-34108.5,-43104.44,-356.75
381,dataset1.DeepFoldRNA.ENST00000468851.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.67,0.272,-0.71550256,6.43,10.98,,0.0,26.13,-17.66,-42706.8,-29629.0,-159.88
387,dataset3.AF3.ENST00000468851.model_0.fixed.pdb,Alphafold3,0.74,0.599,0.5786423,5.61,8.62,,6.896551724137931,33.38,-162.38,-51434.5,-58548.49,-564.17
389,dataset3.RNAJP.ENST00000468851.em_predicted_ENST00000468851-1.fixed.pdb,RNAJP,0.69,0.721,12.092144,5.59,15.98,,31.035872632003226,28.34,-19.19,-37194.7,-52323.7,-410.41
392,dataset3.trRosettaRNA.ENST00000468851.model_1.fixed.pdb,trRosettaRNA,0.59,0.348,19.110586,7.46,17.64,,5.405405405405405,26.92,124.36,-28805.8,-32710.78,-274.56
393,dataset1.SimRNA.ENST00000468851.fixed.pdb,SimRNA,0.65,0.363,13.529159,7.06,16.07,,48.232848232848234,34.69,457.18,-37617.7,-49674.07,-444.67
395,dataset3.Rhofold.ENST00000468851.relaxed_1000.fixed.pdb,RhoFold,0.52,0.654,28.731825,7.88,47.59,,8.742714404662781,42.41,432.3,-19851.6,-44764.49,-374.0
397,dataset3.DRfold2.ENST00000468851.DPR.fixed.pdb,DRfold2,0.58,0.406,17.615849,6.85,21.59,,16.632016632016633,34.33,350.64,-29183.6,-42817.68,-375.57
401,dataset3.3dRNA.ENST00000468851.test_01.pred3.min.fixed.pdb,3dRNA,0.63,0.736,20.892302,7.23,35.98,,22.481265611990008,30.61,306.75,-26135.4,-45308.5,-367.43
403,dataset3.DRfold.ENST00000468851.DPR.fixed.pdb,DRfold,0.61,0.464,16.389357,7.36,25.61,,83.68026644462948,35.55,2234.52,-23610.9,-38794.0,-232.83
404,dataset3.RoseTTAFold2NA.ENST00000468851.model_00.fixed.pdb,RoseTTAFold2NA,0.64,0.356,11.807168,7.18,13.81,,24.948024948024948,31.15,159.78,-34887.3,-46922.2,-404.92
405,dataset3.RNAComposer.ENST00000468851.fixed.pdb,RNAComposer,0.67,0.657,15.958307,7.69,19.02,,25.3955037468776,28.62,44.73,-27322.1,-36258.52,-247.15
407,dataset3.Vfold.ENST00000468851.npk1_vfold.fixed.pdb,Vfold,0.65,0.666,19.72323,6.7,17.99,,26.195426195426194,35.84,449.63,-19518.9,-48585.05,-332.96
411,dataset3.Rhofold.ENST00000614674.relaxed_1000.fixed.pdb,RhoFold,0.44,0.529,39.63723,10.4845867,64.79,5.64,92.14876033057851,50.38,2993.39,1647.08,-52028.4,-342.72
412,dataset3.trRosettaRNA.ENST00000614674.model_1.fixed.pdb,trRosettaRNA,0.59,0.466,19.398937,7.37,19.62,7.33,10.317787866281469,27.07,107.15,-34243.0,-39572.08,-353.31
413,dataset3.RNAJP.ENST00000614674.em_predicted_ENST00000614674-1.fixed.pdb,RNAJP,0.67,0.727,11.206866,5.99,12.29,4.76,32.4,28.37,-52.8,-39640.0,-53354.31,-457.82
414,dataset1.DeepFoldRNA.ENST00000614674.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.61,0.364,6.2341256,6.9,14.76,4.5,12.404961984793918,26.34,31.79,-39191.1,-39134.34,-286.35
415,dataset1.SimRNA.ENST00000614674.fixed.pdb,SimRNA,0.63,0.406,10.054691,6.92,19.11,4.26,45.39826661163846,36.03,454.18,-39929.3,-55030.98,-518.9
416,dataset3.NuFold.ENST00000614674_rank_1.pdb,NuFold,0.69,0.429,9.9686,6.57,13.84,4.91,74.23580786026201,33.6,1371.85,-45128.0,-50656.89,-443.08
417,dataset3.RNAComposer.ENST00000614674.fixed.pdb,RNAComposer,0.68,0.807,18.350151,7.61,23.61,7.03,38.01652892561984,29.52,97.46,-27085.3,-44541.7,-383.71
418,dataset3.DRfold2.ENST00000614674.DPR.fixed.pdb,DRfold2,0.64,0.66,10.699429,6.75,24.45,5.11,22.286421791167975,35.33,632.32,-33013.8,-50478.57,-421.54
427,dataset3.RoseTTAFold2NA.ENST00000614674.model_00.fixed.pdb,RoseTTAFold2NA,0.64,0.416,12.385882,7.09,13.36,7.22,21.460998761865454,30.6,40.28,-38329.2,-48091.6,-380.83
431,dataset3.DRfold.ENST00000614674.DPR.fixed.pdb,DRfold,0.62,0.576,22.21832,7.44,25.95,6.87,39.256198347107436,35.24,1374.41,-24155.8,-43286.82,-303.93
434,dataset3.AF3.ENST00000614674.model_0.fixed.pdb,Alphafold3,0.76,0.576,1.0876989,6.6283474,10.65,3.17,71.69576059850374,35.89,659.9,-50400.0,-64782.06,-715.09
439,dataset1.DeepFoldRNA.ENST00000620871.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.56,0.338,9.902061,6.69,10.29,4.46,14.094432699083862,26.48,-41.0,-41601.5,-49701.99,-333.61
440,dataset3.AF3.ENST00000620871.model_0.fixed.pdb,Alphafold3,0.69,0.535,11.642729,6.29,10.71,4.68,14.818880351262349,33.74,-152.05,-48338.5,-69536.86,-650.38
444,dataset3.Rhofold.ENST00000620871.relaxed_1000.fixed.pdb,RhoFold,0.55,0.544,34.169113,7.89,54.12,7.13,24.008730447435433,39.3,883.15,-23602.6,-47989.39,-346.79
447,dataset3.DRfold.ENST00000620871.DPR.fixed.pdb,DRfold,0.64,0.564,14.545859,7.29,20.49,4.04,79.66533284830848,34.45,2747.6,-34731.1,-51929.87,-291.66
449,dataset3.DRfold2.ENST00000620871.DPR.fixed.pdb,DRfold2,0.64,0.49,12.30902,6.61,18.43,4.54,21.802325581395348,33.34,200.96,-45633.0,-60227.1,-560.61
452,dataset3.RNAJP.ENST00000620871.em_predicted_ENST00000620871-1.fixed.pdb,RNAJP,0.62,0.625,17.919128,6.18,15.06,5.3,26.417752729834447,27.77,-22.54,-40727.8,-56468.64,-479.44
453,dataset3.NuFold.ENST00000620871_rank_1.pdb,NuFold,0.71,0.461,8.849291,6.73,12.74,5.56,4.942339373970346,31.16,111.14,-46367.3,-53080.07,-397.72
454,dataset3.RNAComposer.ENST00000620871.fixed.pdb,RNAComposer,0.67,0.59,9.873105,7.41,17.04,7.24,25.463805020007275,27.74,-9.39,-36627.9,-47015.6,-338.51
459,dataset3.trRosettaRNA.ENST00000620871.model_1.fixed.pdb,trRosettaRNA,0.59,0.564,23.62412,6.87,21.19,7.18,20.712209302325583,27.66,82.38,-37896.1,-53168.09,-465.16
461,dataset3.3dRNA.ENST00000620871.test_01.pred2.min.fixed.pdb,3dRNA,0.64,0.644,26.637718,7.12,29.08,6.76,24.736267733721352,30.04,408.92,-30834.5,-51730.9,-408.13
462,dataset1.SimRNA.ENST00000620871.fixed.pdb,SimRNA,0.58,0.336,17.374218,7.26,18.14,4.95,41.424418604651166,33.97,690.58,-38497.6,-55986.06,-509.7
465,dataset3.RoseTTAFold2NA.ENST00000620871.model_00.fixed.pdb,RoseTTAFold2NA,0.62,0.489,14.491242,7.11,11.97,6.43,65.7703488372093,31.16,319.18,-42441.7,-56711.89,-459.69
470,dataset3.Vfold.ENST00000622426.npk1_vfold.fixed.pdb,Vfold,0.66,0.647,20.392748,6.54,15.75,7.12,20.242914979757085,33.6,345.92,-26568.5,-46787.95,-318.52
474,dataset3.RNAComposer.ENST00000622426.fixed.pdb,RNAComposer,0.66,0.613,16.53041,7.55,18.31,6.57,35.265504661532226,28.96,66.81,-28274.3,-44963.09,-370.74
476,dataset3.DRfold2.ENST00000622426.DPR.fixed.pdb,DRfold2,0.74,0.532,6.084674,5.78,15.0,3.62,19.02834008097166,33.63,23.13,-49588.4,-59602.15,-612.12
480,dataset3.DRfold.ENST00000622426.DPR.fixed.pdb,DRfold,0.7,0.57,8.204904,7.4932356,19.48,3.65,53.91163356303202,36.6,998.36,-40567.1,-56035.63,-486.95
482,dataset3.NuFold.ENST00000622426_rank_1.pdb,NuFold,0.71,0.491,7.1910458,6.2,10.38,5.62,12.836185819070904,32.32,30.06,-46608.6,-51939.85,-409.76
489,dataset3.AF3.ENST00000622426.model_0.fixed.pdb,Alphafold3,0.79,0.537,2.8976815,5.84,8.41,3.29,31.765424557116678,33.81,-17.37,-50190.3,-62163.25,-637.46
491,dataset3.trRosettaRNA.ENST00000622426.model_1.fixed.pdb,trRosettaRNA,0.64,0.459,17.866148,7.2,17.72,7.74,12.955465587044534,26.3,74.3,-33765.7,-39132.93,-321.29
492,dataset1.DeepFoldRNA.ENST00000622426.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.61,0.522,9.596745,6.57,12.07,3.99,25.127601099332548,25.96,-29.25,-42665.0,-50963.84,-424.27
493,dataset1.SimRNA.ENST00000622426.fixed.pdb,SimRNA,0.59,0.431,13.419998,7.15,17.83,4.69,82.18623481781377,36.2,980.55,-31569.0,-53486.08,-487.2
494,dataset3.RNAJP.ENST00000622426.em_predicted_ENST00000622426-1.fixed.pdb,RNAJP,0.7,0.597,8.168214,5.8,10.21,3.9,29.43485086342229,27.32,-129.16,-44376.0,-53709.91,-429.75
496,dataset3.RoseTTAFold2NA.ENST00000622426.model_00.fixed.pdb,RoseTTAFold2NA,0.71,0.543,9.371029,6.43,10.37,5.94,58.70445344129555,30.99,100.15,-47718.6,-56362.21,-465.94
498,dataset3.Rhofold.ENST00000622426.relaxed_1000.fixed.pdb,RhoFold,0.49,0.607,33.82612,7.89,64.32,7.31,32.02269963518444,42.68,1336.57,-14860.3,-41039.13,-252.15
499,dataset3.FARFAR2.ENSMUST00000082395.best.fixed.pdb,FARFAR2,0.76,0.618,8.111242,6.64,11.92,3.74,32.36098450319052,,-94.92,-39882.6,-51244.5,-464.64
500,dataset3.FARFAR2.ENSMUST00000083458.best.fixed.pdb,FARFAR2,0.73,0.521,14.45917,6.94,16.84,3.72,35.475792988313856,,-64.33,-36211.5,-52461.72,-490.4
501,dataset3.FARFAR2.ENSMUST00000104106.best.fixed.pdb,FARFAR2,0.72,0.57,8.925659,7.14,12.82,3.68,34.06046689628779,,-96.14,-51386.5,-62243.01,-603.63
502,dataset3.FARFAR2.ENSMUST00000196796.best.fixed.pdb,FARFAR2,0.74,0.65,8.970011,6.18,14.65,3.37,39.909297052154194,25.54,-74.84,-41498.1,-53717.86,-513.07
503,dataset3.FARFAR2.ENST00000408239.best.fixed.pdb,FARFAR2,0.66,0.486,12.637413,6.72,11.8,3.95,33.17328677433435,25.97,-76.48,-38435.0,-52082.02,-524.94
504,dataset3.FARFAR2.ENST00000516765.best.fixed.pdb,FARFAR2,0.71,0.666,11.012284,6.92,13.32,3.53,30.64066852367688,24.6,-46.96,-37301.7,-49455.9,-496.2
505,dataset3.FARFAR2.ENST00000618281.best.fixed.pdb,FARFAR2,0.76,0.63,10.009827,6.58,14.68,2.97,34.57719958918179,26.16,-49.29,-54917.4,-70737.57,-678.26
506,dataset3.FARFAR2.ENST00000621422.best.fixed.pdb,FARFAR2,0.7,0.512,9.657552,6.48,13.53,4.11,38.851351351351354,,-89.3,-38662.4,-55933.97,-521.47
507,dataset3.FARFAR2.ENST00000628469.best.fixed.pdb,FARFAR2,0.71,0.526,12.973819,6.82,16.26,3.86,32.984714400643604,,-93.06,-41854.4,-58745.39,-518.21
508,dataset3.FARFAR2.ENSMUST00000083321.best.fixed.pdb,FARFAR2,0.74,0.528,18.359928,6.5,13.79,3.67,38.06559731864975,,-166.48,-75038.0,-104505.28,-857.59
509,dataset3.FARFAR2.ENSMUST00000102350.best.fixed.pdb,FARFAR2,0.65,0.473,17.38078,6.85,13.44,4.18,36.82624707063944,25.64,-9.88,-46413.2,-65420.42,-593.39
510,dataset3.FARFAR2.ENSMUST00000122608.best.fixed.pdb,FARFAR2,0.74,0.552,14.317754,6.4,12.55,3.12,37.35224586288416,,-69.61,-84081.7,-100722.37,-876.37
511,dataset3.FARFAR2.ENST00000363858.best.fixed.pdb,FARFAR2,0.68,0.614,11.902017,6.52,14.62,3.24,35.21336914353924,,-139.23,-65655.0,-80970.05,-701.51
512,dataset3.FARFAR2.ENST00000468851.best.fixed.pdb,FARFAR2,0.7,0.595,8.583359,5.95,11.82,3.31,36.21981681931724,26.55,-114.6,-42296.6,-59726.95,-541.68
513,dataset3.FARFAR2.ENST00000614674.best.fixed.pdb,FARFAR2,0.72,0.534,7.642156,6.59,13.78,3.44,36.77685950413223,26.93,-69.87,-44033.2,-58674.57,-542.74
514,dataset3.FARFAR2.ENST00000620871.best.fixed.pdb,FARFAR2,0.64,0.493,13.624249,6.47,13.54,3.97,36.44314868804665,,-105.86,-47259.9,-63378.28,-578.03
515,dataset3.FARFAR2.ENST00000622426.best.fixed.pdb,FARFAR2,0.72,0.593,10.353648,6.05,13.11,3.23,39.724361572760436,26.26,-63.07,-43642.0,-58782.41,-571.84
